nft.identifier,closing_date,payment.quantity,Background,Skin,Face,Head,Body,Rarity
1496,1714057271,11300000000000000000,Normal,Mint,Cream,Flat Cap Tan,Lab Coat,6564
1496,1714045127,11300000000000000000,Normal,Mint,Cream,Flat Cap Tan,Lab Coat,6564
151,1714057271,11300000000000000000,Light Gray,Afro With Pick,Purple,Circle Glasses,Apron,7113
151,1714045127,11300000000000000000,Light Gray,Afro With Pick,Purple,Circle Glasses,Apron,7113
2132,1714041263,11370000000000000000,Blue,Normal,Normal,Turtleneck Blue,Flat Cap Tan,8835
2132,1714012235,10890000000000000000,Blue,Normal,Normal,Turtleneck Blue,Flat Cap Tan,8835
248,1714086563,12539000000000000000,Normal,Scar,Purple,Hat Red,Lab Coat,7075
248,1714081319,11546100000000000000,Normal,Scar,Purple,Hat Red,Lab Coat,7075
2689,1714073603,12250000000000000000,Baby Pink,Purple,Sombrero,Cross Eyed,Lab Coat,3913
2689,1714057295,11280000000000000000,Baby Pink,Purple,Sombrero,Cross Eyed,Lab Coat,3913
2834,1714051931,12500000000000000000,Mint,Normal,Beanie Gray,Kimono Orange,Villain Mask,2223
2875,1714057271,11300000000000000000,Winking,Blue,Baby Pink,Huddle Shirt,Camo Helmet,6853
2875,1714045127,11300000000000000000,Winking,Blue,Baby Pink,Huddle Shirt,Camo Helmet,6853
3114,1714057271,11300000000000000000,Light Gray,Beard,Purple,Turtleneck Green,Headband,6306
3114,1714045343,11150000000000000000,Light Gray,Beard,Purple,Turtleneck Green,Headband,6306
3245,1714045835,11150000000000000000,Purple,Squad,Olive Green,Headband,Scarf Green,5729
3245,1714041275,11360000000000000000,Purple,Squad,Olive Green,Headband,Scarf Green,5729
3245,1714024355,11070000000000000000,Purple,Squad,Olive Green,Headband,Scarf Green,5729
3852,1714057271,11300000000000000000,Normal,Tangerine,Eyepatch,Overalls,Grizzly Bear Hat,6416
3852,1714045127,11300000000000000000,Normal,Tangerine,Eyepatch,Overalls,Grizzly Bear Hat,6416
3878,1714085531,12880000000000000000,Normal,Cute,Pink,Scarf Green,Hat Red,7628
4251,1714067723,12361800000000000000,Beige,Normal,Tank Top Yellow,Flat Cap Blue,Cream,6296
4436,1714057271,11300000000000000000,Light Gray,Purple,Bow Tie Black,Hat Red,Handlebar Bear,4176
4436,1714045343,11150000000000000000,Light Gray,Purple,Bow Tie Black,Hat Red,Handlebar Bear,4176
4549,1714075583,13690000000000000000,Baby Pink,Blushing,Purple,Turtleneck Blue,Bowl Cut,3351
5074,1714055231,11990000000000000000,Light Gray,Normal,Pink,Scarf Pink,Hat Blue,5809
5490,1714067747,12960000000000000000,Maroon,Scarf Blue,Tangerine,Cucumbers,Hat Red,3155
563,1714057271,11300000000000000000,Mint,Dark Gray,Huddle Shirt,Blushing,Afro With Pick,8099
563,1714045343,11150000000000000000,Mint,Dark Gray,Huddle Shirt,Blushing,Afro With Pick,8099
5968,1714058999,11400000000000000000,Normal,Cute,Backwards Hat Red,Purple,Surfboard Necklace,8045
5968,1714045127,11300000000000000000,Normal,Cute,Backwards Hat Red,Purple,Surfboard Necklace,8045
5996,1714057271,11300000000000000000,Normal,Normal,Pink,Scarf Green,Camo Helmet,8098
5996,1714045127,11300000000000000000,Normal,Normal,Pink,Scarf Green,Camo Helmet,8098
6640,1714041215,11370000000000000000,Light Gray,Tangerine,Turtleneck Grey,Cowboy Hat,Cross Eyed,5169
6644,1714057271,11300000000000000000,Beige,Maroon,Normal,Santa Hat,Hawaiian Shirt,4748
6644,1714045343,11150000000000000000,Beige,Maroon,Normal,Santa Hat,Hawaiian Shirt,4748
6881,1714038395,11500000000000000000,Blue,Cream,Clout Goggles,Hat Blue,Hawaiian Shirt,3595
7142,1714057271,11300000000000000000,Beige,Normal,Mohawk Green,Olive Green,Bath Robe,6294
7142,1714045343,11150000000000000000,Beige,Normal,Mohawk Green,Olive Green,Bath Robe,6294
753,1714012547,10860000000000000000,Winking,Normal,Pink,Beanie Gray,Silver Medal,7420
7656,1714012535,10870000000000000000,Mint,Dark Gray,Goggles,Macaroni,Scarf Green,4267
7765,1714047947,11230000000000000000,Beige,Mint,Flat Cap Black,Clout Goggles,Poncho,1470
7765,1714041275,11320000000000000000,Beige,Mint,Flat Cap Black,Clout Goggles,Poncho,1470
8104,1714045127,11300000000000000000,Beige,Winking,Dark Gray,Afro With Pick,Hoodie Black,7428
8390,1714057271,11300000000000000000,Blue,Santa Hat,Normal,Cute,Lei Purple,8016
8390,1714045127,11300000000000000000,Blue,Santa Hat,Normal,Cute,Lei Purple,8016
8413,1714057271,11310000000000000000,Normal,Red,Circle Glasses,Overalls,Party Hat,6734
8413,1714042955,11020000000000000000,Normal,Red,Circle Glasses,Overalls,Party Hat,6734
8768,1714091003,12220000000000000000,Blue,Scarf Blue,Normal,Dark Gray,Sideways Blue,5920
8834,1714039631,11450000000000000000,Normal,Normal,Purple,Turtleneck Blue,Party Hat,8475
